name,category,is_chronic,base_price,default_cycle_days,image_url
sinopril 5mg 30 tab,مزمن - ضغط,True,30.0,30,https://cdn.dawaagate.com/images/medicines/sinopril-5mg-30-tab-244-91e244.webp
protectopril plus 4/1.25 mg 30 tabs,مزمن - ضغط,True,48.0,30,https://cdn.dawaagate.com/images/medicines/protectopril-plus-4125-mg-30-tabs-392-44fb27.webp
protectopril 8 mg 30 tabs,مزمن - ضغط,True,84.0,30,https://cdn.dawaagate.com/images/medicines/protectopril-8-mg-30-tabs-393-04cdac.webp
timbestatin 10/20 mg 14 f.c.tab,مزمن - كوليسترول,True,126.0,30,https://cdn.dawaagate.com/images/medicines/timbestatin-1020-mg-14-fctab-134-f4d5ef.webp
vanvilda plus 50/850 mg 30 tabs,مزمن - سكر,True,105.0,30,https://cdn.dawaagate.com/images/medicines/vanvilda-plus-50850-mg-30-tabs-82.jpg
vanvilda plus 50/500 mg 30 tabs,مزمن - سكر,True,102.0,30,https://cdn.dawaagate.com/images/medicines/vanvilda-plus-50500-mg-30-tabs-83-6a0595.webp
vanvilda plus 50/1000 mg 30 tabs,مزمن - سكر,True,108.0,30,https://cdn.dawaagate.com/images/medicines/vanvilda-plus-501000-mg-30-tabs-84-9e4fba.webp
vanvilda 50 mg 30 tabs,مزمن - سكر,True,88.5,30,https://cdn.dawaagate.com/images/medicines/vanvilda-50-mg-30-tabs-85-d4068c.webp
toujeo solostar 300 i.u./ml 1.5 ml 5 pens,مزمن - سكر,True,1320.0,30,https://cdn.dawaagate.com/images/medicines/toujeo-solostar-300-iuml-15-ml-5-pens-120-432b79.webp
zemylaise 200 ceip unit/ml syrup 120 ml,مسكنات,False,60.0,10,https://cdn.dawaagate.com/images/medicines/zemylaise-200-ceip-unitml-syrup-120-ml-8-b8bbdb.webp
trypsoxir 10 chew tabs,مسكنات,False,99.0,10,https://cdn.dawaagate.com/images/medicines/trypsoxir-10-chew-tabs-114.png
tiapair 20 tabs,مسكنات,False,116.0,10,https://cdn.dawaagate.com/images/medicines/tiapair-20-tabs-137-5f6258.webp
tetracongyra eye drops 10 ml,مسكنات,False,36.0,10,https://cdn.dawaagate.com/images/medicines/tetracongyra-eye-drops-10-ml-140-4120ac.webp
targozym 20 tabs,مسكنات,False,99.9,10,https://cdn.dawaagate.com/images/medicines/targozym-20-tabs-147-19e1e4.webp
stopadol night 30 f.c.tabs,مسكنات,False,51.0,10,https://cdn.dawaagate.com/images/medicines/stopadol-night-30-fctabs-192-506f64.webp
stopadol night 20 f.c.tabs,مسكنات,False,52.0,10,https://cdn.dawaagate.com/images/medicines/stopadol-night-20-fctabs-193-f5ace1.webp
stopadol forte 1000 mg 10 eff. sachets,مسكنات,False,40.0,10,https://cdn.dawaagate.com/images/medicines/stopadol-forte-1000-mg-10-eff-sachets-194-13e0e2.webp
stopadol 650 mg 30 ext. rel. tabs,مسكنات,False,51.0,10,https://cdn.dawaagate.com/images/medicines/stopadol-650-mg-30-ext-rel-tabs-196-d5a061.webp
romage cream,مسكنات,False,55.0,10,https://www.google.com/search?q=Romage%20cream%20Egypt%20pharmacy&tbm=isch
roflex massage gel 50gm,مسكنات,False,50.0,10,https://cdn.dawaagate.com/images/medicines/roflex-massage-gel-50gm-346-b3fe6a.webp
rhumaquick 50 mg 20 disp. tabs,مسكنات,False,21.0,10,https://cdn.dawaagate.com/images/medicines/rhumaquick-50-mg-20-disp-tabs-357-102ad8.webp
zathrotrue 500 mg 6 f.c. tabs,مضاد حيوي,False,65.0,7,https://cdn.dawaagate.com/images/medicines/zathrotrue-500-mg-6-fc-tabs-9-5c3e91.webp
xithrobiotic ophthalmic sol. 2.5 ml,مضاد حيوي,False,18.0,7,https://www.google.com/search?q=Xithrobiotic%20ophthalmic%20sol.%202.5%20ml%20Egypt%20pharmacy&tbm=isch
wideprex 400 mg 5 caps,مضاد حيوي,False,46.25,7,https://cdn.dawaagate.com/images/medicines/wideprex-400-mg-5-caps-21-326841.webp
wideprex 100mg/5ml susp. 60ml,مضاد حيوي,False,58.0,7,https://cdn.dawaagate.com/images/medicines/wideprex-100mg5ml-susp-60ml-22-8b8025.webp
volitracin 500 mg 7 f.c. tabs,مضاد حيوي,False,68.25,7,https://cdn.dawaagate.com/images/medicines/volitracin-500-mg-7-fc-tabs-39-3b3c27.webp
vancolon 1000mg i.v. vial,مضاد حيوي,False,94.0,7,https://cdn.dawaagate.com/images/medicines/vancolon-1000mg-iv-vial-87-3fea7b.webp
vancobact 1 gm vial for i.v. inf,مضاد حيوي,False,60.5,7,https://cdn.dawaagate.com/images/medicines/vancobact-1-gm-vial-for-iv-inf-88-a37a67.webp
tinifloxacin 20 tab,مضاد حيوي,False,103.5,7,https://cdn.dawaagate.com/images/medicines/tinifloxacin-20-tab-133-97521b.webp
tavixinor 750 mg 5 f.c. tabs,مضاد حيوي,False,86.0,7,https://cdn.dawaagate.com/images/medicines/tavixinor-750-mg-5-fc-tabs-144-3c738c.webp
tavixinor 500 mg 5 f.c. tabs,مضاد حيوي,False,64.5,7,https://cdn.dawaagate.com/images/medicines/tavixinor-500-mg-5-fc-tabs-145-7e254f.webp
sunnymerop 1 gm i.v. vial,مضاد حيوي,False,140.0,7,https://cdn.dawaagate.com/images/medicines/sunnymerop-1-gm-iv-vial-183-d088bc.webp
septazole forte 800/160mg 10 tabs,مضاد حيوي,False,9.0,7,https://cdn.dawaagate.com/images/medicines/septazole-forte-800160mg-10-tabs-264-149076.webp
vondalous 10 mg 20 f.c. tabs,جهاز هضمي,False,64.0,15,https://cdn.dawaagate.com/images/medicines/vondalous-10-mg-20-fc-tabs-36-1f4d2d.webp
ursodol 250 mg 10 caps,جهاز هضمي,False,11.0,15,https://www.google.com/search?q=Ursodol%20250%20mg%2010%20caps%20Egypt%20pharmacy&tbm=isch
thimepro d3 30 ml drops,جهاز هضمي,False,56.0,15,https://cdn.dawaagate.com/images/medicines/thimepro-d3-30-ml-drops-138-3af519.webp
sona drink 10 sachets,جهاز هضمي,False,22.0,15,https://cdn.dawaagate.com/images/medicines/sona-drink-10-sachets-225-dfdf19.webp
sekem laxi herbs 15 filter bags,جهاز هضمي,False,25.0,15,https://cdn.dawaagate.com/images/medicines/sekem-laxi-herbs-15-filter-bags-271-e9b4fe.webp
